Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
kangcilok ||,@cilokklucuu,2025-07-13T10:56:29.000Z,True,"Ibuku janda udh 2 tahun, kami suruh nikah dia gamau ",0,0,0,62,[],[],"['\\U0001f62d', '\\U0001f446']",https://pbs.twimg.com/profile_images/1758715471141244928/FA0COu7K_normal.jpg,https://x.com/cilokklucuu/status/1944350214078312956,tweet_id:1944350214078312956
Van,@kissblssm,2025-07-13T10:53:23.000Z,False,"elu aje sangean kocak, bokap gua cere udh bertaun2 bisa kagak nikah lagi krna gue gamau (divorced since 2013)",0,0,0,269,[],[],[],https://pbs.twimg.com/profile_images/1944416955773140992/qWwT-IBg_normal.jpg,https://x.com/kissblssm/status/1944349433027858759,tweet_id:1944349433027858759
call,@honeycheers,2025-07-13T10:48:16.000Z,False,fix gue gamau nikah. ogah make banget,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1876512715264671744/dIPexlES_normal.jpg,https://x.com/honeycheers/status/1944348143442645069,tweet_id:1944348143442645069
lys,@miramen,2025-07-13T10:27:48.000Z,False,aku nonton cuplikan dia nikah aja nangis bistu gamau lagi,0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1677275703652360194/1gdqYLtP_normal.jpg,https://x.com/miramen/status/1944342994343088191,tweet_id:1944342994343088191
aliya kulyeah,@tolonkbanget,2025-07-13T10:19:15.000Z,False,"pdhl perempuan gamau nikah ya karena ogah bersanding sm kaum lu anjay, patriarki",0,0,0,184,[],[],[],https://pbs.twimg.com/profile_images/1626839069396439040/XhjmpDmu_normal.jpg,https://x.com/tolonkbanget/status/1944340843126722897,tweet_id:1944340843126722897
.,@haejnlee,2025-07-13T10:18:19.000Z,False,"Ngomong ke ayahmu, kamu gpp ayahmu nikah lg tp biaya full ditanggung ayahmu. Kalo gamau kataku mending kamunya yang pergi dari rumah nder, cari kos yang jauh dah",0,0,0,57,[],[],[],https://pbs.twimg.com/profile_images/1922256966535282689/pKM-dIm2_normal.jpg,https://x.com/haejnlee/status/1944340605510832365,tweet_id:1944340605510832365
hii raa!,@raacekut,2025-07-13T10:08:29.000Z,False,"aku sempet tanya “ayah kenapa gamau nikah lg?” ayahku jawab “kalo ayah mikirnya, kalo nikah lg beban ayah bertambah. ayah udh cukup punya 2 anak yang kek princess ini, gamau nambah beban lg.”

NAH KEMUNGKINAN BOKAP MU PENGEN NAMBAH BEBAN LG NDER, PERSETAN URUSAN KONTOL…",0,0,0,35,[],[],[],https://pbs.twimg.com/profile_images/1834116973846036480/H3QN2oDh_normal.jpg,https://x.com/raacekut/status/1944338131785810182,tweet_id:1944338131785810182
𝙙𝙚𝙫𝙧è𝙮𝙖,@ereanola,2025-07-13T10:00:10.000Z,False,"alasan gue sekarang mau ngirit gamau banyak jajan dulu

1. mau diet karena badan dan pipi udah kaya babi guling
2. ngumpulin duit buat tour justin (itu pun kalo tour dianya)
3. buat nikah.",0,0,0,180,[],[],[],https://pbs.twimg.com/profile_images/1936345564074926080/RBKFCKnS_normal.jpg,https://x.com/ereanola/status/1944336040556458075,tweet_id:1944336040556458075
﹫naila ًcassano,@neoxtiway,2025-07-13T09:59:47.000Z,False,pengen deh punya anak kyak soyi tp gw gamau nikah tp mau anak kyk soyi atau soyi nya aja dh jadi anak gw,0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/1937168989861318656/0SLQjUdu_normal.jpg,https://x.com/neoxtiway/status/1944335944334926242,tweet_id:1944335944334926242
ayyzie-!,@taeraevision_14,2025-07-13T09:58:13.000Z,True,ak sm kakakku beda 6 taun (lumayan jauh and dia cowo) tp mamaku kyk berharap yg duluan nikah GWEHH??? kyk wow ga siap ga mau biarin aja kakak gw nikah duluan anjirlah gamau ngelangkah” gt gw anjay,0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1927524485910888448/8y-nKmfi_normal.jpg,https://x.com/taeraevision_14/status/1944335548396560469,tweet_id:1944335548396560469
𝙴𝚕𝚜𝚊,@myluvlyarchive,2025-07-13T09:39:32.000Z,False,"Ohh yaa jd keinget dulu ada tweet yg bilang kalo dia gamau nikah kalo ortu atau calon mertuanya blm lbh baik. Yaa kyk maksud tweetmu, harusnya yg siap bkn calon pasutri aja. Masa calon pasutri aja yg belajar & meningkatkan value u/ mjd pasutri? Ortu knp g mempersiapkan jd mertua?",0,0,0,332,[],[],[],https://pbs.twimg.com/profile_images/1458680323387002880/OgPlGSt7_normal.jpg,https://x.com/myluvlyarchive/status/1944330848829833217,tweet_id:1944330848829833217
anya suka intak,@joeruk,2025-07-13T09:20:11.000Z,False,NAHHH AKU JOIN YAHH GAMAU NIKAH JG SOALNYA,0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1943991032623800320/mDWYDHLW_normal.jpg,https://x.com/joeruk/status/1944325975761883258,tweet_id:1944325975761883258
dillah.,@000397JJK,2025-07-13T09:18:19.000Z,False,"sebenernya si klo di liat ya di restui cmn harry yg tipe pemikir bgt klo gamau nnti restunya terancam pdhl ya yaudah si, lagian org nikah kan persetujuan ibu bapak kandung, Mayang mah gada ",0,0,0,229,[],[],['\\U0001f5ff'],https://pbs.twimg.com/profile_images/1934628304428077057/lFDmdvRB_normal.jpg,https://x.com/000397JJK/status/1944325508965265484,tweet_id:1944325508965265484
UTI,@_utiverse_,2025-07-13T09:13:26.000Z,False,"sama woe makanya gua kalo kondangan gamau dinamain ah, gila kali dicatetin gini, kalo gua nikah duluan, kalo gua meninggal duluan malah jadi ngutangin orang, ngeri naro dosa ke orang wkwk ",0,0,0,9,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1939650245438119936/3Rajvw3n_normal.jpg,https://x.com/_utiverse_/status/1944324279476326401,tweet_id:1944324279476326401
ᵍⁱᵗ,@sparklee9908,2025-07-13T08:55:39.000Z,False,"MEWEK DULU GA SEHHH WILLHAYA KESAYANGANKU AKHIRNYA NIKAH..... 

Aku yang mewek banget aduh mixed feeling sekali...... bahagia tapi gamau babay jg aaaakkkkk Kak Sella gimana aku harus melewati seninku dengan mood seperti ini not ur bussiness, tpi saking",0,0,0,85,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1942455208086495233/_97Pb1sk_normal.jpg,https://x.com/sparklee9908/status/1944319804975804502,tweet_id:1944319804975804502
Kin9leo,@kin9leokin9,2025-07-13T08:54:12.000Z,False,"Perempuan skrg kan gitu, yg gamau nikah aja banyak, apalagi sampai nikah dua kali, trauma dia. Lebi nyaman juga sama dildo ",0,0,0,1.2K,[],[],['\\U0001f601'],https://pbs.twimg.com/profile_images/1375086822322106376/b7QZ-ugr_normal.jpg,https://x.com/kin9leokin9/status/1944319439446606137,tweet_id:1944319439446606137
oregano,@foundamiracles,2025-07-13T08:38:14.000Z,False,cape sims gue gamau nikah trs,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1941738529530445825/BvVSr4uK_normal.jpg,https://x.com/foundamiracles/status/1944315419432824965,tweet_id:1944315419432824965
Rhe,@Rheaaaa_15,2025-07-13T08:34:32.000Z,False,"kayak ayahku haha, ibu meninggal belum ada setengah tahun, aku sama kakakku kompak buat ngelarang berujung ayah gamau terbuka sama kami, jadii yaudahlah terserah, akhirnya ya nikah dan hidup seperti semula",0,0,0,213,[],[],['\\U0001f642'],https://pbs.twimg.com/profile_images/1804514117082107904/Cj0ZYr1g_normal.jpg,https://x.com/Rheaaaa_15/status/1944314488293142973,tweet_id:1944314488293142973
jei,@cewenyawtbhrt,2025-07-13T08:24:47.000Z,False,"setuju sih, budeku janda dri tahun lalu, katanya banyak yg mau jodohin budeku sm orang(bukan dri pihak keluarga), tapi budeku ttep gamau nikah lagi apalagi diancem sm anak mantunya klo nikah lg gak mau deket krna takutnya budeku yg apa2 bsa sendiri dinikahin buat ngurusin lakinya",0,0,0,2.6K,[],[],[],https://pbs.twimg.com/profile_images/1930342769022906370/OguJJHid_normal.jpg,https://x.com/cewenyawtbhrt/status/1944312036374327341,tweet_id:1944312036374327341
