text,cleaned
"JAKSA HAKIM 

SEMOGA DAPAT BALASAN YANG SETIMPAL DI DUNIA DAN AKHIRAT",jaksa hakim moga balas timpal dunia akhirat
"ALLOH TA'ALA akan memperlihatkan bahwa KEBENARAN itu hanya 1 milik ALLOH TA'ALA tidak 2 dan 3.

Doa Kami untuk Anak Bangsa Indonesia yang masih mempunyai RASA BERTUHAN dan KEMANUSIAAN ....

Tetap semangat dan terus berjuang untuk mendapatkan KEADILAN HAQIQI ....

Bissiril Fatihah .....

Aamiin ALLAHUMMA Aamiin Yaa Mujiibbassa'iliin .... 🤲🙏🤲",allah taala lihat benar milik allah taala doa untuk anak bangsa indonesia punya rasa tuhan manusia tetap semangat terus juang untuk adil hakiki bissiril fatihah amin allahumma amin ya mujiibbassailiin
"Allah TDK pernah tidur...
In sya Allah akan ada balasan bagi org yg menyalah gunakan kekuasaannya",allah tidur masuk allah balas orang salah guna kuasa
"Jangan sedih pak, mungkin Tuhan punya maksud lain. Selalu ada hikmah dibalik setiap cerita kehidupan. Mungkin sekarang kita tak melihatnya, tapi nanti kita sadar, oh, ternyata ini maksud Tuhan. 

Sejarah sudah membuktikan, banyak orang2 hebat dijerumuskan dalam penjara, tapi kehebatan mereka nakin bersinar. Tetap semangat buat Pak Tom. Semoga panjang umur untuk melihat akhir cerita orang2 yang zolim padamu.",sedih pak tuhan punya maksud hikmah balik cerita hidup lihat sadar oh nyata maksud tuhan sejarah bukti orang hebat jerumus penjara hebat nakin sinar tetap semangat pak tom moga panjang umur untuk lihat akhir cerita orang zolim
"Hukum di Negara Republik Indonesia sudah MATI. Hati nurani udah busuk. Intinya Pak Tom Lembong harus dipenjara sesuai pesanan. Titik.

Astaghfirullah.. 
Semoga Allah membalas orang2 yg berbuat dzolim kpd Pak Tom Lembong. Aamiin

Jd",hukum negara republik indonesia mati hati nurani busuk inti pak tom lembong penjara sesuai pesan titik astagfirullah moga allah balas orang zalim pak tom lembong amin jadi
"Semoga yg menyetel kbohongan/kesalahahan menjadi kejujuran/kebenaran segera mendapat balasan yg setimpal dan sungguh Allah lah se baik"" hakim",moga setel kbohongankesalahahan jadi kejujurankebenaran balas timpal sungguh allah baik hakim
Saya bersama Tom Lembong.,tom lembong
"Allah tidak akan tinggal diam kita tunggu Allah bertindak,, amin ya Allah.",allah tinggal diam tunggu allah tindak amin iya allah
"Memang hancur lebur hukum di NKRI, hidup paling lama 80 th...hisab di akherat 50.000 th....semoga para penegak hukum paham itu",hancur lebur hukum negara satu republik indonesia hidup thhisab akhirat thsemoga tegak hukum paham
"Ketika pengadilan didunia sdh semena2 ,Kita akan sama2 saksikan di pengadilan akhirat nnti,Allah seadil2 nya pemberi balasan 🥹",adil dunia semena saksi adil akhirat allah adil beri balas
peradilan sesat. putusan ini menunjukan bahwa hukum masih dikendalikan oleh penguasa. ini kasus pesanan rejim terdahulu untuk membungkam lawan politik dalam pilpres. satu bukti rejim yang skrg bagian dari rejim jokowi,adil sesat putus tunjuk hukum kendali kuasa kasus pesan rezim untuk bungkam lawan politik pilih presiden satu bukti rezim rezim jokowi
Hukum dagelan di Indonesia,hukum dagel indonesia
"Sakit rasanya dan greget melihat kondisi indo saat ini
 Sdh byk yg terdzolimi. Meski ntinya pasti dpt balasan di dunia sblm diakherat. Tp saat ini rasanya perih, sedih kecewa. Yg terdzolimi byk mengangkat tangan , berdoa insha Allah makbul. agar segera terbalaskan akibat smuanya😪😪😭",sakit rasa greget lihat kondisi indonesia bak zalim ntinya balas dunia diakherat rasa perih sedih kecewa zalim bak angkat tangan doa insya allah makbul balas akibat
"Indonesia gelap
RIP justice 
 😭",indonesia gelap rip justice
Masih adakah hukum di negeri ini yang berpihak dengan orang-orang yang jalan nya lurus? 🥺,hukum negeri pihak orangorang jalan lurus
"Pak Tom tidak sendiri. Saya memilih berdiri bersama orang yg cerdas, berakal sehat dan berintegritas. Bila di akhirat kelak ditanya, saya bisa bilang, saya memilih kebenaran, bukan kebohongan dan kepalsuan yg dibenar2kan",pak tom pilih orang cerdas akal sehat integritas akhirat kelak tanya bilang pilih benar bohong palsu benar
Negeri dagelan,negeri dagel
Sabar dan Tawakal Ya Pak Tom 😢Semoga Allah SWT memberikan yg Terbaik Atas Kejujuran Pak Tom 🤲Kami Bangsa Indonesia paham dan empati dengan perjuangan juga  kondisi Bapak saat ini😭,sabar tawakal iya pak tom moga allah subhanahu wa taala beri baik atas jujur pak tom bangsa indonesia paham empati juang kondisi bapak
"Klo Pak Tom Lembong di hukum 4,5 tahun penjara jokowi sebagai atasan dan yang memerintahkan / menyetujui seharusnya paling tidak 10 tahun penjara hukuman untuk nya, pengadilan Allah yang se adil adilnya, salam waras untuk penegak hukum",pak tom lembong hukum tahun penjara jokowi atas perintah tuju tahun penjara hukum untuk adil allah adil adil salam waras untuk tegak hukum
"Mencari keadilan di negeri ini pada saat ini seperti mencari jarum dlm tumpukan jerami. Seperti menegakkan benang basah, seperti pungguk merindukan bulan, seperti jauh panggang dari api. Sangat sulit dan terasa impossible. Ya sudah pasrah saja sm Allah SWT Tuhan Yang Maha Adil.",cari adil negeri cari jarum tumpu jerami tegak benang basah pungguk rindu bulan jauh panggang api sulit asa impossible iya pasrah allah subhanahu wa taala tuhan maha adil
Semoga balasan kesengsaraan disegerakan buat pra jaksa dan para hakim zalim tsb.,moga balas sengsara pra jaksa hakim zalim sebut
