Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
then,@Denden64362735,2025-07-31T14:50:12.000Z,False,"pak Prabowo tolong ijazah palsu dibongkar setuntas²nya,udah jenga rakyat liat ludruk ijazah palsu.",0,0,0,453,[],[],[],https://pbs.twimg.com/profile_images/1437105615688515589/14ZdnZh8_normal.jpg,https://x.com/Denden64362735/status/1950932009036939625,tweet_id:1950932009036939625
ye,@grummpykiddd,2025-07-31T15:04:01.000Z,False,"prabowo ini kalo di series jadi karakter yang paling bikin gregetan, abu abu banget dia posisinya, ada momen dia bikin statement tolol dan ada momen dia muncul jadi pahlawan di antara aturan yang tolol juga, terlalu maen maen ini mas",0,0,0,1.8K,[],[],[],https://pbs.twimg.com/profile_images/1847646506146562048/8vE4Xyoq_normal.jpg,https://x.com/grummpykiddd/status/1950935486236709352,tweet_id:1950935486236709352
indee D,@indeedreds,2025-07-31T15:15:49.000Z,False,"Kan emang dia korban,kemarin sebelum vonis kan sudah ditahan jadi gak mungkin divonis bebas malah jadi aneh,sudah dijadikan tersangka sudah dipenjara malah divonis bebas.ya dikasih cara biar dia bisa banding aja biar jadi bebas dan lagi mr prabowo turun tangan.",0,0,0,603,[],[],[],https://pbs.twimg.com/profile_images/1481829962806358016/6ewQZvGg_normal.jpg,https://x.com/indeedreds/status/1950938456911450350,tweet_id:1950938456911450350
Mehmet Doğan Aytekin,@M_Dogan_A,2025-07-31T15:02:33.000Z,False,"Ini gara-gara banyak yang nuntut supaya Om Tom jadi contoh, ya?",0,0,0,460,[],[],"['\\U0001f605', '\\U0001f642']",https://pbs.twimg.com/profile_images/1760348279949467648/aUVErKvS_normal.jpg,https://x.com/M_Dogan_A/status/1950935116920045861,tweet_id:1950935116920045861
lia,@jagiyyaaa,2025-07-31T15:18:42.000Z,False,"uuhh, pahlawan sudah tibaa...",0,0,0,140,[],[],[],https://pbs.twimg.com/profile_images/1640730120364367872/7CFfI6Po_normal.jpg,https://x.com/jagiyyaaa/status/1950939181330399472,tweet_id:1950939181330399472
Ansyari Bin Nasrullah,@AnsyariNasrull2,2025-07-31T15:27:00.000Z,False,"Kalau DPR Yang Berwenang Sudah Dari Awal MengUltimatum Tuntutan OKNUM Kejaksaan Terhadap Tom Lembong Yang Tidak Masuk DiAkal, Karena Waktu Penangkapan Awal Tom Lembong Tidak DiJelaskan MotifX Itu Apa.?
Kalau Dari Awal DiKatakan Korupsi, Tapi DiPersidangan Tidak Bisa MembuktikanX?",0,0,0,549,[],[],[],https://pbs.twimg.com/profile_images/1906532876113571840/7wZjz4YV_normal.jpg,https://x.com/AnsyariNasrull2/status/1950941270572171400,tweet_id:1950941270572171400
Zarry bukan Hendrik,@Zarryhndrik,2025-07-31T14:44:11.000Z,False,Intinya mah tom atau Hasto ga perlu merasa berhutang sama si Prabowo ini.,0,0,0,1.7K,[],[],[],https://pbs.twimg.com/profile_images/1946382265451483136/vk2oSCFN_normal.jpg,https://x.com/Zarryhndrik/status/1950930498219377045,tweet_id:1950930498219377045
Anas Willem,@anaswillem,2025-07-31T14:49:51.000Z,False,Si bedul jadi pahlawan lagi,0,0,0,834,[],[],[],https://pbs.twimg.com/profile_images/1482289855573139460/JLixGmj4_normal.jpg,https://x.com/anaswillem/status/1950931923930374345,tweet_id:1950931923930374345
today was,@afairytales_,2025-07-31T15:17:14.000Z,False,"Wahh tiba-tiba indonesia punya super hero, barusan batalin pemblokiran rekening sekarang main gula gula",0,0,0,184,[],[],[],https://pbs.twimg.com/profile_images/1840565158307082241/BPE7WfZR_normal.jpg,https://x.com/afairytales_/status/1950938815205462371,tweet_id:1950938815205462371
salis fz,@salis_fz,2025-07-31T16:07:08.000Z,False,Panjang umur hal hal baik,0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1531283609990008834/-CgfkKIt_normal.jpg,https://x.com/salis_fz/status/1950951370221359453,tweet_id:1950951370221359453
