Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
DhieHen,@Hendyzhykora84,2025-07-31T16:04:50.000Z,False,Berarti Tom Lembong bersalah?,0,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1273263883235373056/M2As3SIF_normal.jpg,https://x.com/Hendyzhykora84/status/1950950794402119865,tweet_id:1950950794402119865
apta,@apta_plk,2025-07-31T14:35:46.000Z,False,"Singkatnya, tuntutan terhadap tom lembong dilepaskan.",0,0,0,194,[],[],[],https://pbs.twimg.com/profile_images/1771477660935614464/i0_xn513_normal.jpg,https://x.com/apta_plk/status/1950928377474580530,tweet_id:1950928377474580530
DEDDEK,@riyadisme,2025-07-31T14:59:17.000Z,False,dihh dia lagi pahlawanyaa…,0,0,0,57,[],[],[],https://pbs.twimg.com/profile_images/1357295512118992897/LsGWnnch_normal.jpg,https://x.com/riyadisme/status/1950934296010858753,tweet_id:1950934296010858753
Dae One,@Imran7267,2025-07-31T14:27:18.000Z,False,Terima kasih pak presiden bapak prabowo subianto,0,0,0,638,[],[],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1705598259681701888/ohCDMegq_normal.jpg,https://x.com/Imran7267/status/1950926247225422284,tweet_id:1950926247225422284
,@buahahahhha,2025-07-31T14:58:56.000Z,False,lagiiiiii??????????,0,0,0,88,[],[],[],https://pbs.twimg.com/profile_images/1950218725569024000/UUaFZC6J_normal.jpg,https://x.com/buahahahhha/status/1950934207619846601,tweet_id:1950934207619846601
Akhdan,@akhdanfillah,2025-07-31T14:39:19.000Z,False,masa die lagi dul,0,0,0,155,[],[],[],https://pbs.twimg.com/profile_images/1277543912278638594/5KpEtuGv_normal.jpg,https://x.com/akhdanfillah/status/1950929273076036045,tweet_id:1950929273076036045
Goten,@WasGoodSep,2025-07-31T14:26:17.000Z,False,,0,0,0,362,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1827733722671763457/uc2EJFn5_normal.jpg,https://x.com/WasGoodSep/status/1950925991137739111,tweet_id:1950925991137739111
semut,@antVzombie,2025-07-31T14:21:24.000Z,False,what a move ndut!,0,0,0,866,[],[],[],https://pbs.twimg.com/profile_images/1923296556998094848/4kdeLK70_normal.jpg,https://x.com/antVzombie/status/1950924762261446995,tweet_id:1950924762261446995
ardan,@ardvnh,2025-07-31T14:36:08.000Z,False,emang hobinya main pahlawan pahlawan ya pak,0,0,0,329,[],[],[],https://pbs.twimg.com/profile_images/1928382007706566656/gJTnmgMl_normal.jpg,https://x.com/ardvnh/status/1950928470629925144,tweet_id:1950928470629925144
Hatori,@YasinThohari,2025-07-31T14:39:02.000Z,False,"Yg diatas aslinya mereka biasa aja, yg dibawah aja yg berantem dan bencinya udah kelewatan ",0,0,0,213,[],[],['\\U0001f62e\\u200d\\U0001f4a8'],https://pbs.twimg.com/profile_images/1811801469718310912/sYqQYYTM_normal.jpg,https://x.com/YasinThohari/status/1950929200551952475,tweet_id:1950929200551952475
Ajo Sidi,@inimaulan,2025-07-31T15:33:48.000Z,False,Eleh eleh,0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1665318239453474817/x-3UamOQ_normal.jpg,https://x.com/inimaulan/status/1950942984607809588,tweet_id:1950942984607809588
Hhh,@Kevin21Hhh,2025-07-31T14:45:22.000Z,False,Pahlawan kuu WKWKWKk,0,0,0,96,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/Kevin21Hhh/status/1950930795704553593,tweet_id:1950930795704553593
Fauzan Aras,@fauzan_aras,2025-07-31T15:47:38.000Z,False,Anda sopan kami curiga,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1539752810841255936/CtVRXNmE_normal.jpg,https://x.com/fauzan_aras/status/1950946464869282121,tweet_id:1950946464869282121
Ben,@benn1810,2025-07-31T15:20:07.000Z,False,Pak Tom cuman dapat abolisi?,0,0,0,67,[],[],[],https://pbs.twimg.com/profile_images/378800000208429429/b0e61f24582e6fd9b100381ecd76ba45_normal.jpeg,https://x.com/benn1810/status/1950939537384817051,tweet_id:1950939537384817051
iip,@maghfero,2025-07-31T14:34:30.000Z,False,"Dagelan apalagi ini, ya Allah lucu banget negeriku ",0,0,0,148,[],[],['\\U0001f972'],https://pbs.twimg.com/profile_images/1900936951764832256/q1pTRzVf_normal.jpg,https://x.com/maghfero/status/1950928059709772180,tweet_id:1950928059709772180
Hi Dear.,@norhaidir,2025-07-31T15:16:33.000Z,False,Teruslah bersuara! ,0,0,0,82,[],[],['\\u270a\\U0001f3fc'],https://pbs.twimg.com/profile_images/1549601745202216960/og9fyzSQ_normal.jpg,https://x.com/norhaidir/status/1950938643633156237,tweet_id:1950938643633156237
arsy,@MShandy_20,2025-07-31T15:30:13.000Z,False,"Seperti biasa, berlagak seperti pahlawan",0,0,0,129,[],[],[],https://pbs.twimg.com/profile_images/1913195178216841216/M-dN76k3_normal.jpg,https://x.com/MShandy_20/status/1950942082685931802,tweet_id:1950942082685931802
memet,@nyikruzs,2025-07-31T14:18:06.000Z,False,La kok???,0,0,0,852,[],[],[],https://pbs.twimg.com/profile_images/1949729122093330432/J0_00Rp7_normal.jpg,https://x.com/nyikruzs/status/1950923934087414194,tweet_id:1950923934087414194
0860,@165NLM,2025-07-31T15:24:03.000Z,False,"Kentut, mang nya dia salah pake abolisi...? Nongol dah yg pura2 jagoan nolongin, KENTUT LAH, PREEET.",0,0,0,18,[],[],[],https://pbs.twimg.com/profile_images/1935014104772861952/nveGym3k_normal.jpg,https://x.com/165NLM/status/1950940530113753301,tweet_id:1950940530113753301
PuruRin ၊||၊ DeSpeed ၊||၊,@PuruRin_Nano,2025-07-31T15:02:58.000Z,False,,0,0,0,62,[],[],[],https://pbs.twimg.com/profile_images/1829679081564356611/JTncRIbA_normal.jpg,https://x.com/PuruRin_Nano/status/1950935222830166043,tweet_id:1950935222830166043
